"이름","나이","경기수","타수","타석수","득점","안타","2루타","3루타","홈런"
"강경학",26,77,289,245,42,68,11,1,5
"강동관",20,2,2,2,0,0,0,0,0
"강동우",38,76,290,257,35,65,16,1,2
"강민국",26,6,4,4,0,1,0,0,0
"강민호",33,129,477,427,46,115,14,0,22
"강백호",19,138,585,527,108,153,32,2,29
"강상원",20,33,14,14,7,3,1,0,0
"강진성",25,45,75,68,5,16,3,0,0
"강한울",26,135,448,412,58,125,9,3,0
"고동진",34,73,213,187,21,45,5,0,1
"고명성",19,5,2,2,0,0,0,0,0
"고영우",26,63,81,70,18,15,3,0,0
"고종욱",29,102,351,330,47,92,22,0,6
"구자욱",25,116,529,478,100,159,26,5,20
"국해성",29,14,28,24,4,8,3,0,0
"권정웅",25,60,112,99,11,21,3,0,6
"권희동",28,104,391,343,43,97,19,1,8
"김강민",36,80,267,235,40,70,14,0,14
"김경언",34,66,217,182,23,48,6,1,5
"김규민",25,104,336,298,47,88,9,2,3
"김대륙",24,58,59,49,5,7,1,2,0
"김도현",21,2,5,4,0,0,0,0,0
"김동엽",28,124,446,421,58,106,15,0,27
"김동영",22,16,19,16,0,3,0,0,0
"김동한",30,55,96,83,11,16,1,0,2
"김만수",20,1,1,1,0,0,0,0,0
"김문호",31,46,115,100,12,25,7,0,2
"김민성",30,128,465,413,46,117,24,0,10
"김민수",27,8,6,6,0,1,0,0,0
"김민식",29,125,365,310,53,76,9,3,6
"김민재",35,114,397,357,26,86,13,0,5
"김민하",29,59,108,97,13,21,4,0,3
"김민혁",20,82,179,156,21,43,2,3,0
"김병수",26,73,191,163,25,43,10,2,4
"김상수",28,122,499,453,63,119,13,1,10
"김상호",27,114,415,366,39,106,20,0,7
"김상훈",36,49,108,87,7,20,4,0,0
"김선빈",29,127,492,424,73,125,17,2,4
"김성욱",25,111,358,323,49,84,13,2,13
"김성윤",18,22,14,12,3,1,0,0,1
"김성현",31,135,462,415,51,115,19,1,4
"김성훈",25,110,212,185,24,45,9,3,0
"김승관",30,50,86,70,10,20,5,0,1
"김영환",25,4,4,4,1,0,0,0,0
"김용의",33,114,185,159,28,37,2,0,0
"김웅빈",20,10,15,14,4,6,0,0,1
"김원섭",37,110,341,277,45,74,13,3,5
"김응민",27,1,1,1,0,0,0,0,0
"김인태",24,46,109,95,16,25,7,0,1
